name,club,defoff,matches,mins,goals,assists,yellow_cards,prediction
Maximilian Philipp,Wolfsburg,0,24,1111,6,2,3,Yes
Admir Mehmedi,Wolfsburg,0,18,820,0,2,0,No
Josuha Guilavogui,Wolfsburg,0,20,747,0,1,3,No
Marin Pongračić,Wolfsburg,0,10,575,0,0,2,No
Kevin Trapp,Eintracht Frankfurt,0,33,2970,0,0,0,Yes
André Silva,Eintracht Frankfurt,0,32,2760,28,7,1,Yes
Filip Kostić,Eintracht Frankfurt,0,30,2534,4,14,4,Yes
Martin Hinteregger,Eintracht Frankfurt,0,29,2527,2,1,4,Yes
Daichi Kamada,Eintracht Frankfurt,0,32,2356,5,12,3,Yes
Makoto Hasebe,Eintracht Frankfurt,0,29,2288,0,0,5,Yes
Djibril Sow,Eintracht Frankfurt,0,28,2175,0,2,6,Yes
Obite N'Dicka,Eintracht Frankfurt,0,23,2044,3,1,10,Yes
Sebastian Rode,Eintracht Frankfurt,0,27,1625,1,0,10,Yes
Erik Durm,Eintracht Frankfurt,0,21,1480,1,2,1,Yes
Stefan Ilsanker,Eintracht Frankfurt,0,27,1578,1,0,4,Yes
Tuta,Eintracht Frankfurt,0,19,1459,0,0,5,No
Amin Younes,Eintracht Frankfurt,0,26,1391,3,3,5,Yes
David Abraham,Eintracht Frankfurt,0,14,1222,1,0,5,No
Aymen Barkok,Eintracht Frankfurt,0,26,977,2,3,5,Yes
Bas Dost,Eintracht Frankfurt,0,12,817,4,2,3,No
Luka Jović,Eintracht Frankfurt,0,18,894,4,1,2,No
Almamy Touré,Eintracht Frankfurt,0,17,704,1,1,2,No
Steven Zuber,Eintracht Frankfurt,0,20,585,0,3,1,No
Timothy Chandler,Eintracht Frankfurt,0,15,432,1,0,2,No
Dominik Kohr,Eintracht Frankfurt,0,7,260,0,0,1,No
Ajdin Hrustic,Eintracht Frankfurt,0,11,272,1,0,2,No
Danny da Costa,Eintracht Frankfurt,0,6,110,0,0,0,No
Elias Bördner,Eintracht Frankfurt,0,1,90,0,0,0,No
Ragnar Ache,Eintracht Frankfurt,0,7,100,1,0,1,No
Edmond Tapsoba,Bayer Leverkusen,0,31,2652,1,0,5,Yes
Lukáš Hrádecký,Bayer Leverkusen,0,29,2565,0,0,1,Yes
Moussa Diaby,Bayer Leverkusen,0,32,2388,4,11,5,Yes
